Date,Julian Date / Sprout length (mm) https://www.aavso.org/jd-calculator,Ichi 1,Ichi 1B,Ichi 1C,Ichi 1D,Ichi 1E,Ichi 2,Ichi 3,Ichi 4,Ichi 4B,Ichi 4C,Ichi 5,Ichi 6,Ichi 5,Ni 1,Ni 1B,Ni 1C,Ni 1D,Ni 2,Ni 2B,Ni 2C,Ni 2D,Ni 3,Ni 4,San 1,San 2,San 3,San 3B,San 3C,San 4,San 5,San 5B,San 6,San 6B,San 7,San 8,San 8B,San 8C,San 9,San 10,San 11,San 12,San 14,San 14B,San Ni 1,San Ni 2,San Ni 3,San San 1,San San 2,Yon 1,Yon 2,Yon 3,Yon 4,Yon 4B,Yon 4C,Yon 5,Yon 6,Yon7,Go 1,Go 1B,Go 1C,Go 1D,Go 2,Go 3,Go 4,Go 5,Ruku 1,Ruku 1B,Ruku 1C,Ruku 2,Ruku 3,Ruku 4,Ruku 4B,Ruku 5,Ruku 6,Ruku 6B,Ruku 6C,Ruku 7,Ruku 8
"linear section (Python indices) - start / start:end+1",,,4,,,,,0:10,,,,,,,,,,,,3,,,3,3,8:13,0:11,7,,,,,,,,,,6,,,,,,7,,0:4,,,,0:4,,,,,,,,,,0:13,,,,,,,,8,,,,,,,,,,,,
Wednesday 17 March 2021 - 15h UTC,2459291.12500,17.7,,,,,12.6,,,,,,,,15.3,,,,10.5,,,,,,29.0,28.2,21.9,,,20.1,13.2,,11.2,,18.1,18.3,,,11.2,11.3,18.8,16.4,,,,,,,,9.0,7.9,5.4,,,,,,,13.5,,,,10.7,,,,8.5,,,4.4,5.3,8.5,,12.8,5.4,,,,
Thursday 18 March 2021 - 15h UTC,2459292.12500,19.1,,,,,12.8,18.8,,,,,,,15.0,,,,13.3,,,,,,32.6,27.5,20.3,,,19.7,14.2,,11.3,,22.6,18.1,,,,12.3,,15.1,11.4,,,,,,,9.7,8.3,5.7,,,,,,,15.4,,,,10.3,,,,10.4,,,5.1,5.1,8.3,,12.3,8.7,,,6.3,
Friday 19 March 2021 - 16h UTC,2459293.16667,21.2,,,,,12.6,17.9,,,,,,,14.7,15.0,,,13.8,7.3,,,,,32.5,29.0,19.9,,,19.9,12.7,,12.0,,23.3,17.1,17.8,,,10.8,,14.9,11.7,,,,,,,9.5,7.5,5.5,,,,,,,19.6,12.2,,,9.6,,,,8.7,,,4.8,6.4,7.9,,13.1,9.7,,,6.8,7.7
Saturday 20 March 2021 - 16h UTC,2459294.16667,23.3,20.9,,,,14.0,20.2,,,,,,,14.2,13.1,,,12.6,9.5,,,,,35.0,29.2,19.5,,,20.0,13.6,,11.5,,23.4,17.0,17.9,,,10.5,,15.6,11.8,,,,,,,9.2,9.1,5.4,,,,,,,19.4,11.5,,,10.8,,,,8.3,,,4.1,6.0,7.9,,13.9,9.0,,,6.7,8.1
Sunday 21 March 2021 - 17:30h UTC,2459295.22917,22.6,20.7,,,,12.5,20.7,,,,,,,13.5,13.9,,,11.2,9.1,,,,,35.0,32.2,21.7,,,20.1,14.6,,11.4,,23.1,16.5,18.2,,,10.8,,16.2,11.4,,,,,,,9.4,8.7,4.9,,,,,,,18.9,14.2,,,10.3,,,,9.4,,,4.5,6.8,7.8,,15.1,8.8,,,6.1,6.9
Monday 22 March 2021 - 18:00 UTC,2459296.25000,24.1,19.8,,,,13.2,21.9,7.5,,,,,7.2,14.5,13.5,,,11.9,8.4,,,15.3,11.0,33.2,32.2,21.5,,,19.4,15.5,,12.6,,24.4,16.1,17.9,,,,,16.7,10.5,,,,,,,8.8,9.4,,,,,,,,20.0,12.7,,,10.1,,,,10.3,,,4.3,6.1,7.6,,15.0,9.3,,,6.5,7.6
Tuesday 23 March 2021 - 18:00 UTC,2459297.25038,24.9,21.7,,,,13.1,23.0,8.0,,,,,7.2,12.6,13.6,,,12.7,,,,14.9,11.0,35.4,33.6,21.8,,,18.6,13.5,,10.9,,23.5,19.3,18.4,,,,,16.6,11.3,,,,,,,10.5,10.0,,,,,,,,20.9,13.2,,,10.7,,,,10.4,,,,6.9,9.1,,13.8,8.7,,,5.9,7.8
Wednesday 24 March 2021 - 18h UTC,2459298.25038,26.1,21.1,,,,13.3,24.0,8.6,,,,,6.1,12.7,15.2,,,12.8,,,,15.3,10.3,35.2,33.4,22.2,,,19.5,12.1,,12.7,,,17.9,20.1,,,,,18.9,10.1,,,,,,,11.0,8.3,,,,,,,,19.9,13.1,,,11.0,,,,9.3,,,,6.3,8.3,,14.0,10.4,,,7.3,7.3
Sunday 28 March 2021 - 17:30 UTC,2459302.22917,29.0,25.3,18.7,,,13.3,27.4,10.9,,,,,8.0,11.8,15.1,16.7,,11.1,15.6,,,15.6,10.9,39.0,37.9,,9.7,,26.3,15.4,17.6,11.1,,,23.4,20.2,,,,,,9.3,,,,,,,10.4,8.9,,,,,,,,24.6,14.2,10.6,,8.9,,,,10.3,,,,6.5,9.3,,14.9,8.7,,,,7.5
Thursday 1 April 2021 - 16h UTC,2459306.16667,34.3,34.5,27.6,,,13.7,33.2,12.2,12.2,,,,,,18.9,21.6,16.5,12.5,23.6,,,25.3,18.5,51.8,44.9,34.7,14.3,,20.2,15.6,17.5,13.1,,,22.1,23.7,,,,,,12.3,,,,,,,10.5,,,,,,,,,31.1,12.8,17.5,,,,,,11.3,13.0,,,,9.2,,,10.1,,,,6.2
Monday 5 April 2021 - 17h UTC,2459310.20833,40.7,41.9,37.3,,,13.4,35.9,12.9,14.2,,,,,,20.8,26.8,22.7,,25.6,,,30.0,25.4,62.9,49.6,45.2,22.4,,19.1,21.7,21.0,14.0,14.0,,24.8,30.8,,,,,,16.2,16.2,,,,,,10.2,,,11.3,,,,,,35.8,14.4,22.3,,,,,,15.6,10.4,,,,10.1,,,10.5,,,,7.4
Thursday 8 April 2021 - 14h UT,2459313.08333,41.0,46.9,42.1,24.5,,12.4,36.9,13.2,15.0,6.8,,,,,20.3,30.2,27.6,,31.0,14.0,11.2,33.4,29.1,68.3,49.3,49.2,23.9,,18.4,20.3,20.0,14.2,14.0,,19.5,35.3,13.1,,,,,16.1,16.9,,,,,,10.0,,,11.5,,,,,,38.0,14.7,26.1,,,,,,17.1,12.0,14.1,,,9.7,,,10.5,10.8,,,7.6
Monday 12 April 2021 - 17h UTC,2459317.20833,43.3,55.8,54.6,33.6,13.1,12.5,37.5,17.6,13.2,11.0,,,,,20.8,38.6,39.8,,40.1,20.8,11.0,41.0,34.0,73.7,49.4,59.8,30.8,3.9,19.5,19.7,23.9,15.0,17.8,,19.4,42.7,17.9,,,,,19.1,22.9,,,,,,8.4,,,10.5,,,,,,40.3,15.7,37.9,6.6,,,,,21.1,11.3,18.0,,,8.8,,,12.4,8.2,,,
Friday 16 April 2021 - 18h UTC,2459321.25000,45.4,64.0,63.5,42.1,20.1,11.6,36.4,21.0,15.2,17.8,,,,,21.8,43.8,48.3,,44.5,26.1,10.4,43.6,40.9,75.1,50.3,70.4,41.5,4.8,17.5,20.5,28.2,14.3,21.1,,18.4,47.7,21.4,,,,,17.7,29.0,,,,,,,,,11.0,16.2,,,,,40.6,14.5,47.6,8.7,,,,,23.6,10.0,28.0,,,10.7,18.6,,14.6,8.1,,,
Monday 19 April 2021 - 17h UTC,2459324.20833,46.0,67.2,73.9,51.5,26.2,12.4,36.5,21.6,14.7,21.8,,,,,19.6,47.8,60.6,,47.6,30.4,10.5,42.5,43.8,76.5,49.1,76.6,49.9,3.6,19.6,20.1,29.5,14.3,27.4,,16.3,50.1,26.2,,,,,19.1,33.4,,,,,,,,,10.3,19.6,16.0,,,,40.7,14.8,56.9,10.5,,,,,28.6,10.4,35.8,,,10.4,22.6,,17.1,7.6,18.9,,